current_angle,target_angle,action,reward
105.3,18.181684222247203,-0.0,-0.0408591578888764
90.0,18.181684222247203,-0.0,-0.017009157888876403
60.3,18.181684222247203,1,0.0987408421111236
18.0,18.181684222247203,0.7560821099709633,-0.006840842111123601
4.5,18.181684222247203,-1,-0.0081908421111236
2.7,18.181684222247203,-1,0.0999091578888764
0.0,18.181684222247203,-1,-0.0188091578888764
56.7,18.181684222247203,1,-0.04265915788887639
99.9,18.181684222247203,1,-0.0683091578888764
161.1,18.181684222247203,1,-0.0953091578888764
213.3,18.181684222247203,1,-0.1232091578888764
268.2,18.181684222247203,1,-0.1457091578888764
312.3,18.181684222247203,1,-0.1623591578888764
341.1,18.181684222247203,1,-0.1709091578888764
357.3,18.181684222247203,1,-0.17045915788887642
358.2,18.181684222247203,1,-0.1592091578888764
335.7,18.181684222247203,1,-0.14075915788887639
304.2,18.181684222247203,1,-0.11690915788887637
253.8,18.181684222247203,1,-0.0903591578888764
195.29999999999998,18.181684222247203,1,-0.0624591578888764
135.9,18.181684222247203,1,-0.034559157888876396
81.9,18.181684222247203,1,-0.010259157888876401
44.1,18.181684222247203,1,0.0958591578888764
9.9,18.181684222247203,-1,-0.009090842111123602
0.0,18.181684222247203,-1,-0.005490842111123602
10.8,18.181684222247203,-1,-0.0057591578888764
30.6,18.181684222247203,1,-0.025109157888876403
68.4,18.181684222247203,1,-0.0485091578888764
115.2,18.181684222247203,1,-0.0791091578888764
173.7,18.181684222247203,1,-0.10475915788887638
231.3,18.181684222247203,1,-0.1331091578888764
283.5,18.181684222247203,1,-0.15335915788887639
327.6,18.181684222247203,1,-0.16820915788887641
351.9,18.181684222247203,1,-0.1709091578888764
360.0,18.181684222247203,1,-0.16550915788887638
348.3,18.181684222247203,1,-0.1524591578888764
320.4,18.181684222247203,1,-0.1308591578888764
281.7,18.181684222247203,1,-0.1061091578888764
226.8,18.181684222247203,1,-0.07730915788887639
171.9,18.181684222247203,1,-0.0503091578888764
114.3,18.181684222247203,1,-0.023759157888876403
63.9,18.181684222247203,1,-0.0057591578888764
32.4,18.181684222247203,1,-0.006840842111123601
2.7,18.181684222247203,-1,-0.008640842111123603
1.8,18.181684222247203,-1,0.0976591578888764
13.5,18.181684222247203,-1,-0.0129591578888764
40.5,18.181684222247203,1,-0.036359157888876406
89.1,18.181684222247203,1,-0.0606591578888764
136.8,18.181684222247203,1,-0.0899091578888764
200.7,18.181684222247203,1,-0.12455915788887639
252.9,18.181684222247203,1,-0.1412091578888764
299.7,18.181684222247203,1,-0.1605591578888764
336.6,18.181684222247203,1,-0.16685915788887637
353.7,18.181684222247203,1,-0.1686591578888764
355.5,18.181684222247203,1,-0.15965915788887639
345.6,18.181684222247203,1,-0.1439091578888764
306.9,18.181684222247203,1,-0.12185915788887638
260.1,18.181684222247203,1,-0.09710915788887638
204.3,18.181684222247203,1,-0.0651591578888764
146.7,18.181684222247203,1,-0.041309157888876395
96.30000000000001,18.181684222247203,1,-0.0143091578888764
49.50000000000001,18.181684222247203,1,0.09784084211112361
15.3,18.181684222247203,0.10443081060887416,-0.009090842111123602
0.0,18.181684222247203,-1,-0.008640842111123603
6.299999999999999,18.181684222247203,-1,0.0982908421111236
26.1,18.181684222247203,1,-0.019709157888876398
62.99999999999999,18.181684222247203,1,-0.0449091578888764
114.3,18.181684222247203,1,-0.07190915788887639
162.9,18.181684222247203,1,-0.09890915788887639
216.9,18.181684222247203,1,-0.1263591578888764
275.4,18.181684222247203,1,-0.14885915788887638
315.0,18.181684222247203,1,-0.1628091578888764
347.4,18.181684222247203,1,-0.1709091578888764
360.0,18.181684222247203,1,-0.1659591578888764
354.6,18.181684222247203,1,-0.1538091578888764
331.2,18.181684222247203,1,-0.13535915788887637
288.0,18.181684222247203,1,-0.11150915788887639
237.60000000000002,18.181684222247203,1,-0.0818091578888764
189.0,18.181684222247203,1,-0.057509157888876394
130.5,18.181684222247203,1,-0.0305091578888764
77.4,18.181684222247203,1,-0.009359157888876398
34.2,18.181684222247203,1,-0.005940842111123602
9.9,18.181684222247203,-1,-0.0081908421111236
0.0,18.181684222247203,-1,0.09630915788887641
12.599999999999998,18.181684222247203,-1,-0.010259157888876401
38.7,18.181684222247203,1,-0.0269091578888764
74.7,18.181684222247203,1,-0.0561591578888764
293.4,180.8508703709022,-0.0,-0.05807456481454891
298.8,180.8508703709022,-0.0,-0.0751745648145489
334.8,180.8508703709022,1,-0.08732456481454891
351.9,180.8508703709022,1,-0.08957456481454891
357.3,180.8508703709022,1,-0.08147456481454891
347.4,180.8508703709022,1,-0.0693245648145489
316.8,180.8508703709022,1,-0.04547456481454891
276.3,180.8508703709022,1,-0.018024564814548897
214.2,180.8508703709022,1,-0.009425435185451093
156.6,180.8508703709022,-1,-0.03822543518545109
104.4,180.8508703709022,-1,-0.06117543518545109
58.5,180.8508703709022,-1,-0.0778254351854511
19.8,180.8508703709022,-1,-0.0868254351854511
0.9000000000000001,180.8508703709022,-1,-0.0904254351854511
0.9000000000000001,180.8508703709022,-1,-0.0796254351854511
16.2,180.8508703709022,-1,-0.0647754351854511
48.60000000000001,180.8508703709022,-1,-0.0391254351854511
